label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
pdh70_range_gt_q40,23,21,2,91.3,390.44,16.98,27.13,-8.44,2020-02-21 08:50:00,2026-03-18 10:36:00
pdh60_range_gt_q25,22,20,2,90.91,371.63,16.89,22.69,-8.69,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_pdh_lt_q60_-78.0,31,27,4,87.1,486.27,15.69,16.13,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
rel_vol_20_lt_q50_1.7,26,23,3,88.46,373.63,14.37,15.79,-16.88,2018-10-12 10:09:00,2026-03-16 08:48:00
pdh60_relvol_lt_q75,22,19,3,86.36,328.96,14.95,14.89,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_pdl_lt_q40_108.0,20,17,3,85.0,292.15,14.61,14.75,-8.19,2020-02-21 08:50:00,2025-11-04 10:41:00
dist_pdh_lt_q55_-89.0,28,24,4,85.71,437.77,15.63,14.62,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_dol_lt_q40_-63.5,20,17,3,85.0,315.96,15.8,14.48,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
pdh70_range_gt_q25,26,22,4,84.62,394.94,15.19,14.08,-8.69,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_pdh_lt_q65_-76.0,33,28,5,84.85,499.46,15.14,13.91,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
pdh70_relvol_lt_q60,21,18,3,85.71,313.14,14.91,13.4,-16.88,2020-02-21 08:50:00,2026-02-18 08:35:00
dist_dol_lt_q50_-27.0,26,22,4,84.62,393.82,15.15,13.38,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
pdh60_body_gt_q40,20,17,3,85.0,296.31,14.82,13.38,-8.69,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_pdh_lt_q50_-118.75,26,22,4,84.62,389.53,14.98,13.12,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_dol_lt_q60_-0.25,31,26,5,83.87,460.14,14.84,12.91,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
risk_points_gt_q60_8.69,20,17,3,85.0,364.27,18.21,12.56,-21.69,2020-03-20 10:10:00,2026-03-16 08:48:00
atr_50_gt_q60_12.99,20,17,3,85.0,314.26,15.71,12.53,-16.88,2020-03-20 10:10:00,2026-03-18 10:36:00
dist_or_high_30m_gt_q60_-76.25,20,17,3,85.0,252.56,12.63,12.38,-15.5,2020-12-02 08:41:00,2026-03-18 10:36:00
dist_vwap_lt_q60_-46.19,31,26,5,83.87,474.61,15.31,12.26,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_lt_q60_-46.19,31,26,5,83.87,474.61,15.31,12.26,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
atr_50_gt_q50_11.64,25,21,4,84.0,388.5,15.54,11.9,-16.88,2020-03-20 10:10:00,2026-03-18 10:36:00
or_range_30m_gt_q50_98.0,25,21,4,84.0,398.89,15.96,11.89,-15.5,2020-02-21 08:50:00,2026-03-16 08:48:00
dist_or_low_30m_gt_q40_2.75,31,26,5,83.87,456.71,14.73,11.55,-15.5,2020-12-02 08:41:00,2026-03-18 10:36:00
rel_vol_20_lt_q60_1.85,31,26,5,83.87,428.38,13.82,11.26,-16.88,2018-10-12 10:09:00,2026-03-16 08:48:00
pdh75_range_gt_q25,28,23,5,82.14,398.75,14.24,10.97,-9.81,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_dol_lt_q70_12.0,36,29,7,80.56,506.07,14.06,10.4,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdh_lt_q70_-61.25,36,29,7,80.56,501.2,13.92,10.36,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_or_low_30m_gt_q30_0.75,34,28,6,82.35,480.26,14.13,10.33,-15.5,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_vwap_day_lt_q50_-58.35,26,21,5,80.77,388.86,14.96,10.23,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_vwap_lt_q50_-58.35,26,21,5,80.77,388.86,14.96,10.23,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_vwap_lt_q70_-32.98,36,29,7,80.56,509.61,14.16,10.18,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_lt_q70_-32.98,36,29,7,80.56,509.61,14.16,10.18,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
