timeframe,fvg_ts,entry_ts,year,month,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
1h,2026-01-06T15:00:00.000000,2026-01-06T15:56:00.000000,2026,1,NQH6,25650.5,25673.0,22.5,25688.5,25645.5,43.0,25774.5,25860.5,26045.5,25420.75,stop,-1.0
1h,2026-01-21T15:00:00.000000,2026-01-21T15:10:00.000000,2026,1,NQH6,25125.5,25294.75,169.25,25302.0,25120.5,181.5,25665.0,26028.0,26349.0,25142.0,tp2,4.0
1h,2026-01-21T20:00:00.000000,2026-01-21T20:50:00.000000,2026,1,NQH6,25294.75,25446.0,151.25,25466.0,25289.75,176.25,25818.5,26171.0,26349.0,25365.25,tp2,4.0
1h,2026-01-23T15:00:00.000000,2026-01-26T01:22:00.000000,2026,1,NQH6,25635.5,25661.5,26.0,25656.75,25630.5,26.25,25709.25,25761.75,26349.0,25180.25,stop,-1.0
1h,2026-02-25T15:00:00.000000,2026-02-25T15:55:00.000000,2026,2,NQH6,25165.75,25264.5,98.75,25270.25,25160.75,109.5,25489.25,25708.25,25494.75,24352.0,tp1,2.0
1h,2026-03-17T13:00:00.000000,2026-03-18T12:43:00.000000,2026,3,NQM6,24860.25,24929.5,69.25,24925.5,24855.25,70.25,25066.0,25206.5,24998.25,23596.75,stop,-1.0
1h,2026-03-23T12:00:00.000000,2026-03-23T12:01:00.000000,2026,3,NQM6,23929.0,24345.0,416.0,24382.5,23924.0,458.5,25299.5,26216.5,24690.0,22961.5,stop,-1.0
1h,2026-03-31T01:00:00.000000,2026-03-31T01:10:00.000000,2026,3,NQM6,23100.0,23160.25,60.25,23172.25,23095.0,77.25,23326.75,23481.25,25280.0,23166.5,tp2,4.0
1h,2026-04-02T14:00:00.000000,2026-04-02T14:05:00.000000,2026,4,NQM6,23757.75,23859.0,101.25,23886.75,23752.75,134.0,24154.75,24422.75,25393.0,23881.0,tp2,4.0
1h,2026-04-15T19:00:00.000000,2026-04-15T19:02:00.000000,2026,4,NQM6,26220.0,26292.25,72.25,26303.25,26215.0,88.25,26479.75,26656.25,27462.5,26275.5,tp2,4.0
1h,2026-04-24T11:00:00.000000,2026-04-24T13:54:00.000000,2026,4,NQM6,27120.75,27170.5,49.75,27173.25,27115.75,57.5,27288.25,27403.25,27965.75,27009.5,tp2,4.0
1h,2026-05-01T14:00:00.000000,2026-05-01T14:37:00.000000,2026,5,NQM6,27625.75,27751.0,125.25,27757.75,27620.75,137.0,28031.75,28305.75,28944.75,27613.0,stop,-1.0
1h,2026-05-05T13:00:00.000000,2026-05-05T13:31:00.000000,2026,5,NQM6,27947.25,27971.0,23.75,27992.5,27942.25,50.25,28093.0,28193.5,28944.75,27987.75,tp2,4.0
30m,2026-01-02T08:30:00.000000,2026-01-02T14:13:00.000000,2026,1,NQH6,25643.75,25676.0,32.25,25676.0,25638.75,37.25,25750.5,25825.0,25996.25,25265.25,stop,-1.0
30m,2026-01-21T15:00:00.000000,2026-01-21T15:10:00.000000,2026,1,NQH6,25258.0,25294.75,36.75,25302.0,25253.0,49.0,25400.0,25498.0,26349.0,25142.0,stop,-1.0
30m,2026-01-21T15:30:00.000000,2026-01-21T16:37:00.000000,2026,1,NQH6,25339.25,25378.0,38.75,25361.0,25334.25,26.75,25414.5,25468.0,26349.0,25142.0,stop,-1.0
30m,2026-01-21T19:30:00.000000,2026-01-21T19:33:00.000000,2026,1,NQH6,25294.75,25421.0,126.25,25433.75,25289.75,144.0,25721.75,26009.75,26349.0,25365.25,tp2,4.0
30m,2026-01-21T20:00:00.000000,2026-01-21T20:29:00.000000,2026,1,NQH6,25457.0,25485.0,28.0,25486.5,25452.0,34.5,25555.5,25624.5,26349.0,25365.25,stop,-1.0
